country_name,country_code,year,gdp_per_capita
Afghanistan,AFG,2000,174.9309914
Afghanistan,AFG,2019,496.6025043
Albania,ALB,2000,1160.420471
Albania,ALB,2019,6069.439031
Algeria,DZA,2000,1772.928691
Algeria,DZA,2019,4468.453419
American Samoa,ASM,2000,..
American Samoa,ASM,2019,12886.13595
Andorra,AND,2000,21810.25038
Andorra,AND,2019,41257.81646
Angola,AGO,2000,563.7337956
Angola,AGO,2019,2493.678844
Antigua and Barbuda,ATG,2000,12027.49498
Antigua and Barbuda,ATG,2019,18896.37218
Argentina,ARG,2000,7637.014892
Argentina,ARG,2019,9955.974787
Armenia,ARM,2000,593.4505817
Armenia,ARM,2019,4597.228874
Aruba,ABW,2000,20681.02303
Aruba,ABW,2019,30645.8906
Australia,AUS,2000,21908.9968
Australia,AUS,2019,55194.75851
Austria,AUT,2000,24487.29747
Austria,AUT,2019,49885.99474
Azerbaijan,AZE,2000,655.0972496
Azerbaijan,AZE,2019,4805.753718
"Bahamas, The",BHS,2000,24940.07751
"Bahamas, The",BHS,2019,33640.33699
Bahrain,BHR,2000,14214.48368
Bahrain,BHR,2019,27259.74386
Bangladesh,BGD,2000,396.6707302
Bangladesh,BGD,2019,2129.79897
Barbados,BRB,2000,11674.67365
Barbados,BRB,2019,21912.15012
Belarus,BLR,2000,1276.288034
Belarus,BLR,2019,6837.773396
Belgium,BEL,2000,23098.88651
Belgium,BEL,2019,46716.62275
Belize,BLZ,2000,4726.506755
Belize,BLZ,2019,6171.614498
Benin,BEN,2000,487.4241414
Benin,BEN,2019,1130.821353
Bermuda,BMU,2000,56542.95695
Bermuda,BMU,2019,115798.0408
Bhutan,BTN,2000,771.9249114
Bhutan,BTN,2019,3576.879871
Bolivia,BOL,2000,975.7770604
Bolivia,BOL,2019,4203.154929
Bosnia and Herzegovina,BIH,2000,1338.480596
Bosnia and Herzegovina,BIH,2019,6122.375414
Botswana,BWA,2000,3450.811806
Botswana,BWA,2019,7172.089565
Brazil,BRA,2000,3766.547863
Brazil,BRA,2019,9029.833044
British Virgin Islands,VGB,2000,..
British Virgin Islands,VGB,2019,..
Brunei Darussalam,BRN,2000,20130.25723
Brunei Darussalam,BRN,2019,30426.57307
Bulgaria,BGR,2000,1621.262107
Bulgaria,BGR,2019,10353.72046
Burkina Faso,BFA,2000,248.9085269
Burkina Faso,BFA,2019,764.8530778
Burundi,BDI,2000,134.5378618
Burundi,BDI,2019,234.3106159
Cabo Verde,CPV,2000,1189.514793
Cabo Verde,CPV,2019,4380.781173
Cambodia,KHM,2000,296.4266875
Cambodia,KHM,2019,2225.877055
Cameroon,CMR,2000,708.5657316
Cameroon,CMR,2019,1555.226605
Canada,CAN,2000,24271.00206
Canada,CAN,2019,46352.86934
Cayman Islands,CYM,2000,..
Cayman Islands,CYM,2019,88254.29025
Central African Republic,CAF,2000,239.1541337
Central African Republic,CAF,2019,449.2284676
Chad,TCD,2000,163.1216637
Chad,TCD,2019,893.3364416
Channel Islands,CHI,2000,43479.19408
Channel Islands,CHI,2019,60564.6294
Chile,CHL,2000,5052.992458
Chile,CHL,2019,14495.71672
China,CHN,2000,969.1995137
China,CHN,2019,10342.90095
Colombia,COL,2000,2555.00751
Colombia,COL,2019,6472.545449
Comoros,COM,2000,633.3090328
Comoros,COM,2019,1510.232182
"Congo, Dem. Rep.",COD,2000,377.9254215
"Congo, Dem. Rep.",COD,2019,504.0041914
"Congo, Rep.",COG,2000,1024.301591
"Congo, Rep.",COG,2019,2488.424667
Costa Rica,CRI,2000,3812.753883
Costa Rica,CRI,2019,12884.686
Cote d'Ivoire,CIV,2000,936.6365413
Cote d'Ivoire,CIV,2019,2141.768362
Croatia,HRV,2000,4953.651588
Croatia,HRV,2019,15563.59873
Cuba,CUB,2000,2751.381771
Cuba,CUB,2019,9232.261159
Curacao,CUW,2000,15841.26124
Curacao,CUW,2019,19220.68658
Cyprus,CYP,2000,14388.35254
Cyprus,CYP,2019,29227.17383
Czechia,CZE,2000,6062.921528
Czechia,CZE,2019,24062.719
Denmark,DNK,2000,30722.02518
Denmark,DNK,2019,59404.26632
Djibouti,DJI,2000,737.6121836
Djibouti,DJI,2019,2837.169023
Dominica,DMA,2000,4867.398963
Dominica,DMA,2019,9491.14996
Dominican Republic,DOM,2000,2831.458836
Dominican Republic,DOM,2019,8183.016236
Ecuador,ECU,2000,1382.234218
Ecuador,ECU,2019,6205.057652
"Egypt, Arab Rep.",EGY,2000,1366.092744
"Egypt, Arab Rep.",EGY,2019,2962.98892
El Salvador,SLV,2000,1982.870935
El Salvador,SLV,2019,4320.116715
Equatorial Guinea,GNQ,2000,1487.316551
Equatorial Guinea,GNQ,2019,6804.149231
Eritrea,ERI,2000,314.3573968
Eritrea,ERI,2019,..
Estonia,EST,2000,4070.609024
Estonia,EST,2019,24021.25014
Eswatini,SWZ,2000,1629.670388
Eswatini,SWZ,2019,3913.145775
Ethiopia,ETH,2000,122.2692026
Ethiopia,ETH,2019,793.4732472
Faroe Islands,FRO,2000,23322.75934
Faroe Islands,FRO,2019,63068.28727
Fiji,FJI,2000,1995.720712
Fiji,FJI,2019,5842.073446
Finland,FIN,2000,24335.92251
Finland,FIN,2019,48358.18078
France,FRA,2000,22340.59395
France,FRA,2019,40408.28486
French Polynesia,PYF,2000,14978.3241
French Polynesia,PYF,2019,21582.5892
Gabon,GAB,2000,3982.906201
Gabon,GAB,2019,7441.178647
"Gambia, The",GMB,2000,538.0540723
"Gambia, The",GMB,2019,738.186752
Georgia,GEO,2000,749.908535
Georgia,GEO,2019,4741.283272
Germany,DEU,2000,23925.85599
Germany,DEU,2019,47656.19974
Ghana,GHA,2000,253.7469362
Ghana,GHA,2019,2186.658227
Gibraltar,GIB,2000,..
Gibraltar,GIB,2019,..
Greece,GRC,2000,11638.20107
Greece,GRC,2019,19335.3602
Greenland,GRL,2000,19009.07744
Greenland,GRL,2019,53309.20359
Grenada,GRD,2000,4839.828111
Grenada,GRD,2019,10462.79292
Guam,GUM,2000,..
Guam,GUM,2019,39274.94314
Guatemala,GTM,2000,1648.96579
Guatemala,GTM,2019,4511.998396
Guinea,GIN,2000,518.1570669
Guinea,GIN,2019,1031.341465
Guinea-Bissau,GNB,2000,316.945495
Guinea-Bissau,GNB,2019,811.2164259
Guyana,GUY,2000,931.7966517
Guyana,GUY,2019,6405.824434
Haiti,HTI,2000,820.6000468
Haiti,HTI,2019,1352.172042
Honduras,HND,2000,1092.564007
Honduras,HND,2019,2502.327443
"Hong Kong SAR, China",HKG,2000,25756.77287
"Hong Kong SAR, China",HKG,2019,48359.0012
Hungary,HUN,2000,4629.917608
Hungary,HUN,2019,17012.85986
Iceland,ISL,2000,32503.57896
Iceland,ISL,2019,69296.31444
India,IND,2000,442.7502189
India,IND,2019,2041.428637
Indonesia,IDN,2000,763.711125
Indonesia,IDN,2019,4106.948562
"Iran, Islamic Rep.",IRN,2000,1650.013858
"Iran, Islamic Rep.",IRN,2019,3997.493545
Iraq,IRQ,2000,1980.18916
Iraq,IRQ,2019,5671.856863
Ireland,IRL,2000,26334.56721
Ireland,IRL,2019,81827.66889
Isle of Man,IMN,2000,21161.39631
Isle of Man,IMN,2019,87127.5518
Israel,ISR,2000,21706.51941
Israel,ISR,2019,44250.63136
Italy,ITA,2000,20190.00356
Italy,ITA,2019,33812.78872
Jamaica,JAM,2000,3453.092528
Jamaica,JAM,2019,6030.688964
